Date,Open,High,Low,Close
11/03/2022,"31,985.05","32,185.71","31,727.05","32,001.25"
11/02/2022,"32,576.28","33,071.93","32,139.77","32,147.76"
11/01/2022,"32,862.79","32,975.48","32,485.23","32,653.20"
10/31/2022,"32,754.27","32,883.86","32,586.93","32,732.95"
10/28/2022,"32,204.31","32,889.81","32,158.38","32,861.80"
10/27/2022,"32,062.14","32,388.42","31,993.21","32,033.28"
10/26/2022,"31,738.44","32,172.42","31,738.44","31,839.11"
10/25/2022,"31,463.65","31,876.15","31,423.53","31,836.74"
10/24/2022,"31,187.32","31,603.63","31,161.41","31,499.62"
10/21/2022,"30,291.18","31,119.27","30,206.28","31,082.56"
10/20/2022,"30,411.92","30,822.96","30,265.20","30,333.59"
10/19/2022,"30,439.04","30,662.11","30,226.90","30,423.81"
10/18/2022,"30,697.52","30,837.90","30,301.83","30,523.80"
10/17/2022,"30,059.58","30,311.95","29,997.62","30,185.82"
10/14/2022,"30,192.21","30,428.82","29,614.30","29,634.83"
10/13/2022,"28,755.83","30,168.54","28,660.94","30,038.72"
10/12/2022,"29,233.06","29,455.12","29,136.03","29,210.85"
10/11/2022,"29,085.20","29,608.42","29,074.23","29,239.19"
10/10/2022,"29,419.09","29,485.82","29,010.41","29,202.88"
10/07/2022,"29,685.27","29,685.27","29,142.66","29,296.79"
10/06/2022,"30,206.13","30,329.61","29,859.34","29,926.94"
10/05/2022,"30,078.36","30,454.46","29,886.44","30,273.87"
10/04/2022,"29,826.67","30,325.05","29,826.67","30,316.32"
10/03/2022,"28,855.25","29,647.79","28,855.25","29,490.89"
09/30/2022,"29,123.03","29,355.78","28,715.85","28,725.51"
09/29/2022,"29,513.73","29,513.73","28,997.34","29,225.61"
09/28/2022,"29,198.92","29,811.78","29,114.97","29,683.74"
09/27/2022,"29,419.88","29,659.12","28,958.22","29,134.99"
09/26/2022,"29,536.84","29,630.77","29,161.12","29,260.81"
09/23/2022,"29,955.65","29,955.65","29,250.47","29,590.41"
09/22/2022,"30,204.52","30,302.28","29,994.53","30,076.68"
09/21/2022,"30,819.39","31,020.79","30,181.99","30,183.78"
09/20/2022,"30,888.53","30,888.53","30,465.91","30,706.23"
09/19/2022,"30,722.86","31,026.89","30,559.37","31,019.68"
09/16/2022,"30,866.61","30,866.61","30,550.08","30,822.42"
09/15/2022,"31,124.68","31,277.69","30,882.08","30,961.82"
09/14/2022,"31,141.02","31,276.82","30,885.02","31,135.09"
09/13/2022,"32,006.50","32,006.50","31,018.54","31,104.97"
09/12/2022,"32,159.49","32,504.04","32,159.49","32,381.34"
09/09/2022,"31,876.22","32,227.74","31,876.22","32,151.71"
09/08/2022,"31,481.95","31,783.37","31,321.50","31,774.52"
09/07/2022,"31,145.63","31,644.34","31,095.21","31,581.28"
09/06/2022,"31,343.79","31,463.89","31,048.46","31,145.30"
09/02/2022,"31,848.50","32,026.90","31,182.09","31,318.44"
09/01/2022,"31,454.58","31,677.51","31,219.75","31,656.42"
08/31/2022,"31,827.15","31,966.04","31,509.59","31,510.43"
08/30/2022,"32,163.84","32,205.66","31,647.22","31,790.87"
08/29/2022,"32,188.00","32,325.16","31,972.79","32,098.99"
08/26/2022,"33,293.43","33,364.70","32,278.22","32,283.40"
08/25/2022,"33,029.27","33,306.09","32,889.85","33,291.78"
08/24/2022,"32,899.01","33,095.50","32,828.56","32,969.23"
08/23/2022,"33,033.52","33,138.26","32,858.89","32,909.59"
08/22/2022,"33,586.59","33,586.59","33,007.63","33,063.61"
08/19/2022,"33,904.69","33,904.69","33,627.09","33,706.74"
08/18/2022,"33,981.86","34,043.83","33,844.46","33,999.04"
08/17/2022,"34,029.55","34,161.01","33,828.41","33,980.32"
08/16/2022,"33,924.35","34,281.36","33,852.57","34,152.01"
08/15/2022,"33,710.70","33,954.71","33,582.96","33,912.44"
08/12/2022,"33,430.72","33,767.09","33,398.32","33,761.05"
08/11/2022,"33,451.51","33,651.80","33,289.83","33,336.67"
08/10/2022,"33,130.63","33,364.41","33,130.63","33,309.51"
08/09/2022,"32,807.36","32,877.53","32,702.66","32,774.41"
08/08/2022,"32,877.36","33,109.96","32,769.10","32,832.54"
08/05/2022,"32,593.90","32,814.61","32,489.62","32,803.47"
08/04/2022,"32,805.69","32,829.22","32,652.63","32,726.82"
08/03/2022,"32,514.21","32,912.74","32,514.21","32,812.50"
08/02/2022,"32,691.29","32,772.93","32,387.12","32,396.17"
08/01/2022,"32,755.71","32,972.03","32,640.79","32,798.40"
07/29/2022,"32,515.62","32,910.18","32,493.02","32,845.13"
07/28/2022,"32,197.62","32,609.54","31,982.61","32,529.63"
07/27/2022,"31,865.05","32,336.23","31,799.43","32,197.59"
07/26/2022,"31,950.04","31,950.04","31,705.36","31,761.54"
07/25/2022,"31,950.93","32,029.03","31,821.67","31,990.04"
07/22/2022,"32,167.92","32,219.25","31,731.47","31,899.29"
07/21/2022,"31,826.49","32,040.63","31,534.08","32,036.90"
07/20/2022,"31,829.99","31,944.45","31,646.95","31,874.84"
07/19/2022,"31,165.91","31,842.25","31,165.91","31,827.05"
07/18/2022,"31,475.98","31,644.68","30,982.97","31,072.61"
07/15/2022,"30,775.37","31,288.26","30,775.37","31,288.26"
07/14/2022,"30,451.80","30,680.12","30,143.93","30,630.17"
07/13/2022,"30,743.63","30,979.17","30,514.61","30,772.79"
07/12/2022,"31,113.31","31,346.10","30,860.51","30,981.33"
07/11/2022,"31,277.98","31,367.55","31,114.40","31,173.84"
07/08/2022,"31,348.43","31,511.46","31,212.45","31,338.15"
07/07/2022,"31,190.65","31,421.84","31,154.64","31,384.55"
07/06/2022,"30,957.30","31,224.69","30,794.84","31,037.68"
07/05/2022,"30,903.12","30,971.74","30,355.12","30,967.82"
07/01/2022,"30,737.77","31,139.35","30,487.79","31,097.26"
06/30/2022,"30,790.00","30,979.85","30,431.87","30,775.43"
06/29/2022,"31,067.41","31,152.96","30,894.53","31,029.31"
06/28/2022,"31,549.05","31,885.09","30,934.33","30,946.99"
06/27/2022,"31,533.60","31,598.59","31,351.37","31,438.26"
06/24/2022,"30,846.94","31,517.29","30,846.94","31,500.68"
06/23/2022,"30,570.33","30,715.63","30,293.40","30,677.36"
06/22/2022,"30,352.57","30,777.92","30,166.01","30,483.13"
06/21/2022,"30,074.69","30,653.98","30,074.69","30,530.25"
06/17/2022,"29,912.70","30,167.52","29,653.29","29,888.78"
